wavenumber,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
1100.0581,0.22610479496410782,0.17367634584842762,0.11684107775169326,0.16095336717387568,0.20410541258481887,0.207558135810757,0.25669070266264044,0.1269960947356276,0.1026376613137151,0.20689993142847124,0.25721778412706847,0.14733442388368057,0.1506422762177697,0.18628100502476352,0.17183224238884365,0.17411291529104556,0.14716066100264094,0.15670253057950864,0.1762747085765705,0.1994546181732072
1100.9634,0.22009825920434162,0.15084251678274027,0.11158273661216594,0.15528083860264752,0.1859809678028737,0.19133420302495335,0.2474259335901562,0.1222975098115084,0.1079118702650025,0.1852038649932266,0.23899933707981816,0.13701723249555608,0.15424659268217158,0.18418564397316126,0.16845945441582483,0.16890956443658076,0.15125329765143936,0.1483774460064473,0.16724842381129365,0.189987124743517
1101.8687,0.21311790396395505,0.12990059253351452,0.10633622230345857,0.14921550220426139,0.16868085214971856,0.17566267332531246,0.2371136311945158,0.11726957177789513,0.11167987312170795,0.1648939917649985,0.22135803950744345,0.12694222909664662,0.15647686390375584,0.18106058025704833,0.1643888519093252,0.16307469952306952,0.15315702263546582,0.1400303395743715,0.15811024352897265,0.18022652609267795
1102.7754,0.20516372924294807,0.11085057310075026,0.10110153482557115,0.1427573579787173,0.15220506562535344,0.1605435467118343,0.2257537954757194,0.11191228063478781,0.11394166988383145,0.1459703117437869,0.20429389140994444,0.11710941368695213,0.15733308988252248,0.1769058138764248,0.15962043486934477,0.1566083205505118,0.15287183595472037,0.13166121128328123,0.14886016772960745,0.17017282222069008
1103.6804,0.19623573504132075,0.09369245848444757,0.0958786741785037,0.13590640592601524,0.13655360822977836,0.14597682318451893,0.2133464264337668,0.10622563638218639,0.114697260551373,0.1284328249295918,0.18780689278732107,0.10751878626647264,0.1568152706184715,0.1717213448312906,0.15415420329588353,0.14951042751890758,0.15039773760920294,0.12327006113317653,0.13949819641319808,0.15982601312755335
1104.5854,0.186333921359073,0.0784262486846064,0.09066764036225619,0.12866264604615527,0.12172647996299331,0.13196250274336627,0.19989152406865815,0.1002096390200909,0.1139466451243326,0.11228153132241322,0.17189704363957337,0.09817034683520813,0.1549234061116029,0.16550717312164576,0.14799015718894146,0.14178102042825694,0.1457347275989136,0.11485688912405731,0.1300243295797445,0.14918609881326778
1105.4888,0.1754582881962049,0.06505194370122679,0.08546843337682865,0.12102607833913732,0.1077236808249983,0.11850058538837639,0.1853890883803934,0.09386428854850136,0.11168982360271025,0.09751643092225117,0.15656434396670127,0.0890640953931586,0.1516574963619167,0.1582632987474903,0.14112829654851863,0.13342009927855977,0.1388828059238523,0.10642169525592364,0.12043856722924676,0.1382530792778334
1106.3937,0.1636088355527164,0.05356954353430871,0.08028105322222105,0.11299670280496141,0.09454521081579335,0.10559107111954925,0.16983911936897256,0.08718958496741773,0.10792679598650595,0.08413752372910561,0.14180879376870487,0.08020003194032409,0.14701754136941286,0.14998972170882416,0.13356862137461495,0.1244276640698162,0.12984197258401908,0.0979644795287755,0.11074090936170483,0.12702695452125015
1107.2985,0.15078556342860752,0.043979048183852155,0.07510549989843343,0.10457451944362757,0.08219106993537842,0.09323395993688488,0.15324161703439562,0.08018552827684004,0.10265756227571969,0.07214480974297656,0.1276303930455841,0.07157815647670455,0.14100354113409141,0.1406864420056474,0.1253111316672305,0.11480371480202613,0.11861222757941386,0.08948524194261288,0.1009313559771187,0.11550772454351804
1108.2017,0.13698847182387827,0.03628045764985717,0.06994177340546576,0.09575952825513576,0.07066125818375352,0.08142925184038323,0.13559658137666253,0.07285211847676827,0.0958821224703515,0.06153828896386405,0.114029141797339,0.06319846900230003,0.13361549565595235,0.13035345963796002,0.11635582742636524,0.1045482514751896,0.10519357091003674,0.08098398249743581,0.09100990707548842,0.10369538934463712
1109.1063,0.11167264526642068,0.035512127134216205,0.05769188711580695,0.07160723707107566,0.044304145839101916,0.046790551901711434,0.09304813970080403,0.04841930338586788,0.09393873531114068,0.05623839049155725,0.09884906173184885,0.050345596002154026,0.11154660225427866,0.10801474452591307,0.10217621216687828,0.08611067570830382,0.08787855017466074,0.06655455843392061,0.07228548977037463,0.09906106795299506
1110.0094,0.08468204900449794,0.03678792311931692,0.05938897198892159,0.06629120877741358,0.022561900238361392,0.031193522089921263,0.092606363889089,0.04409455010061373,0.06083674402347208,0.04058260330174317,0.08654933796283255,0.042580495496020214,0.09526488998031998,0.08781698787117635,0.09000217545899236,0.06466117742016453,0.06523415356452461,0.06143408503471975,0.05647849497490607,0.0759713212967644
1110.9124,0.06626501968611435,0.030567975073908193,0.0536751526610173,0.04391511088752134,0.009084095903944387,0.02866162254230317,0.04972085627336993,0.03625766452242958,0.06953737280533537,0.04168384395366668,0.06559960071937333,0.03824346850607088,0.09542990846307188,0.06589365471847229,0.07059100781523713,0.06100217447782146,0.027528098658686856,0.050391320510343195,0.042678107891342264,0.054602264880967116
1111.8152,0.04150593998653375,0.03393988968907891,0.04094965598409943,0.029413775436374606,0.0036333606644364156,0.030964901663080406,0.03069811233363557,0.01976532917369951,0.043265956883875606,0.029076011862678074,0.055462601301347135,0.034012550836860854,0.08421015797234489,0.04187395310988078,0.06044701378339897,0.04196379890356638,-0.005711474864100366,0.03677324499751123,0.03222194823216098,0.02773995435644855
1112.718,0.02695725372065708,0.03112538065465538,0.03284273572659015,0.02904490095654159,-0.002612262230860219,0.021663505576305604,0.00617244413386148,0.014297389701748759,0.025029479695868842,0.029175322836767263,0.04423842753017928,0.030045060594141863,0.07633836763165713,0.023602267210726086,0.04138826936301141,0.027186258287231778,-0.03752809177985966,0.02770407429512116,0.026653083515966996,0.0022846818440024276
1113.6207,0.008618155155975108,0.010555081979896247,0.027417574469762875,0.02448103030452036,-0.008154849248838247,0.015803440341480325,-0.004170574696663802,0.009461906596867948,-0.009966821137570964,0.021119575886908517,0.026762924790320136,0.021784904245472154,0.054108433734355185,0.006784515228236574,0.026691859246155202,0.011801276517139232,-0.030584051355244793,0.014816207771245957,0.012538081952608311,-0.02697852075216266
1114.5234,-0.000562369926805322,0.024594993983283547,0.022003037381148456,0.026871613196323654,-0.002459739945601946,0.00631706198117831,-0.01932486717396761,0.0026046293662283964,-0.008386520816779252,0.004090832280462455,0.005348117084287837,0.011264178603454305,0.04318593990656382,-0.009181914377821211,0.014594117725478237,0.007826778728000871,-0.021637567744141977,0.011738511649969778,-5.3033722296699236e-05,-0.034633951150823405
1115.4244,-0.008573915144545263,0.03424050041789207,0.017553892720034547,0.03371857088850833,0.01783776381767631,0.025741557535009216,-0.01741796896796893,0.011224864152046835,-0.025828090599507483,0.010043884146817474,0.008501377016092328,0.010961305469728594,0.023127098764789803,-0.014208463458188575,0.005884022441671925,0.00116598755785864,-0.03649851283109126,-0.0017848965028764224,0.001968373129692685,-0.034520337633079344
1116.3269,-0.016386412586448518,0.0386896366214852,0.012053103509609104,0.0437703745939505,0.04817084616994163,0.04962981883187226,-0.014552753963677008,0.011209821521124591,-0.038147057895614234,0.010410108414953675,0.01294779634816098,0.004150992713031434,0.013704918633043765,-0.009375642750241612,0.004265342589248,0.0029754871141869765,-0.017019640488225525,-0.016843220291515366,0.002154863449355818,-0.03744705936457707
